nama_kelurahan,latitude,longitude
Ulujami,-6.240989799999999,106.763273
Petukangan Utara,-6.2273641,106.7500025
Petukangan Selatan,-6.2425078,106.7559004
Pesanggrahan,-6.2474283,106.7617984
Bintaro,-6.2678825,106.7617984
