nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,nama_kelurahan,nama_kecamatan,nama_kota
warteg selera,4.6,13,-6.260403,106.7970268,"jl. rs. fatmawati raya no.1, rt.2/rw.1, cipete utara, kota jakarta selatan",ChIJzRY0eXXxaS4RDvXmGhnQD4Y,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg citrajaya bahari,4.1,12,-6.2599345,106.7962051,"jl. gotong royong i no.1, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJ9fn8wp_xaS4Rnr_xEDKeXI0,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg rahayu,0,0,-6.2600657,106.800691,"jl. damai raya no.20, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJv4vg6J3xaS4RatIsR5-Eu4w,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,0,0,-6.264571,106.799726,"jl. abdul majid raya, rt.13/rw.2, cipete utara, kota jakarta selatan",ChIJNyMYqAPxaS4R7gNXNMCSNY4,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari 24,4.6,57,-6.2609494,106.796151,"jl. hidup baru, rt.9/rw.6, gandaria utara, kota jakarta selatan",ChIJuQHgkZ_xaS4RhJK7eLjYLoE,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg kharisma bahari,5,1,-6.2602689,106.8011275,"jl. damai iv no.5, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJrwCBZ73xaS4RQeOSCrJbuHM,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg palapa bahari,4.8,11,-6.2634236,106.8042748,"prp3+jpj, rt.7/rw.7, north cipete, south jakarta city",ChIJ95n_znHxaS4RcMhu3itXWJU,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg citra jaya bahari 24 jam,4.9,7,-6.259878,106.795719,"jl. gotong royong, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJj3GRO8DxaS4RJW_37-8rV88,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg barokah,3.8,15,-6.258563,106.802274,"no 18, jalan kirai, rt.10/rw.4, cipete utara, kota jakarta selatan",ChIJK_7-mZ3xaS4RG3fPlGRAtKc,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg 168,4,2,-6.2636355,106.7945404,"jl. h. nawi raya, rt.2/rw.7, gandaria utara, kota jakarta selatan",ChIJBW6EWZ_xaS4Roq_1K9LQ7ps,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg cita rasa 3,4,9,-6.2638568,106.794299,"no. 051, jl. h. nawi raya, rt.7/rw.7, gandaria utara, kota jakarta selatan",ChIJLaE9Vp_xaS4RXEZZp3K0has,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg ceria gotong royong,5,1,-6.2597702,106.7958452,"4, jl. gotong royong no.8, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJMdAUoRzxaS4RguBqpjzrBuI,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg bmw / warteg bude,5,1,-6.2604264,106.8010327,"jalan damai iv no.4 rt.004/rw.05, rt.4/rw.2, cipete utara, kota jakarta selatan",ChIJMaAOw53xaS4RW4U7eBhxMd0,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,4.4,206,-6.2582684,106.7932268,"jl. karya utama no.6, gandaria utara, kota jakarta selatan",ChIJx1eskX_xaS4R07OKpVGmurM,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg umi,5,1,-6.2634595,106.8042898,"prp3+jp7, rt.12/rw.7, north cipete, south jakarta city",ChIJD_eKu1DxaS4RC0k47qoK9lg,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg selebritis,5,2,-6.2598649,106.800184,"jl. damai raya no.27, rt.1/rw.5, cipete utara, kota jakarta selatan",ChIJs8sPq8LxaS4RBgx4yiyXzmE,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg yoga,4.8,21,-6.259869,106.805691,"jl. damai raya no.35, rt.7/rw.3, cipete utara, kota jakarta selatan",ChIJN8gxNp3xaS4RlpOsz3cFXrE,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg selera,4.3,10,-6.2639969,106.8042005,"jl. h. jian, rt.8/rw.7, cipete utara, kota jakarta selatan",ChIJfQv2YZvxaS4RxXgQR8R773s,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg jaya bahari,4.5,49,-6.2666981,106.8037732,"jl. abdul majid raya, rt.11/rw.7, cipete utara, kota jakarta selatan",ChIJPc4q_ZrxaS4Rnb65HJWKVAM,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,4.4,179,-6.2600701,106.8057715,"jl. h. jian no.32, rt.7/rw.3, cipete utara, kota jakarta selatan",ChIJx8p0Sp3xaS4R-_IldqY_PHc,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg bu turah,4.4,31,-6.2613799,106.802347,"jakarta selatan, rt.6/rw.2, cipete utara, kota jakarta selatan",ChIJIwFTrZ3xaS4R8yZkk2Jr6pU,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg bahari,4.3,8,-6.2430849,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg pandan wangi,4.5,52,-6.243892,106.8015754,"jalan hasanudin dalam no.28c blok m, kebayoran baru, rt.3/rw.1, melawai, kota jakarta selatan",ChIJfzFWNWnxaS4RKd8Nme0LbRI,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg sajny,0,0,-6.241383,106.805117,"rt3, jl. tirtayasa v no.5, rt.3/rw.2, melawai, kota jakarta selatan",ChIJezPy70LxaS4RpgoJ3loY8JY,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg blok m,0,0,-6.243073,106.801823,"jl. falatehan i no.44, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ3zgOI5TxaS4RvxDCNxYwGgg,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg sari rasa bahari,4.8,4,-6.2412027,106.8086271,"15, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJfcQt7GfxaS4RQPODRu1FWH8,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg indah jaya,5,2,-6.2413087,106.8084911,"jl. cililin no.12a, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJOQgwUWbxaS4RlO0bjH5s4kA,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg nurul jaya,5,1,-6.2379328,106.8092399,"jl. ciragil ii no.14, rt.4/rw.1, rw. bar., kota jakarta selatan",ChIJlSx6gV3xaS4RX63CdU-RK_c,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg naim,2.8,6,-6.2646063,106.8082094,"jl. kh. moh. naim ii no.10, rt.3/rw.11, cipete utara, kota jakarta selatan",ChIJOxqUxgDxaS4RjYgxP5CF6as,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg nojo jaya,4.1,130,-6.2369222,106.8169473,"jl. rengas 3 no.1, rt.7/rw.2, rw. bar., kota jakarta selatan",ChIJe36y7V_xaS4Rg4XGMfLfIX0,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg jaya,3,1,-6.237504,106.814933,"#, jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJy_TP0l_xaS4RN33VNof7puc,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,4.4,134,-6.2641376,106.8090111,"jl. khm. naim iii no.11, rt.5/rw.9, cipete utara, kota jakarta selatan",ChIJ32eNfYTxaS4RPMzLYLN43zk,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg tegal bahari,0,0,-6.2637201,106.807913,"012, jl. h. sa'aba no.8a, rt.3/rw.11, cipete utara, kota jakarta selatan",ChIJ96k_jIHxaS4RaRUgenP3ZDU,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg jippo,4.5,6,-6.2579808,106.8071943,"jl. anggur v, rt.3/rw.3, cipete utara, kota jakarta selatan",ChIJOSU7EnjxaS4R_IVdjn8r26A,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg sederhana,4.4,48,-6.264538,106.8089784,"jl. khm. naim iii b no.11, rt.7/rw.9, cipete utara, kota jakarta selatan",ChIJMWiYWoTxaS4R7M_b64dog7Y,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg ibu lilis,4.9,7,-6.2597541,106.8071358,"jl. putih melati no.11, rt.11/rw.3, cipete utara, kota jakarta selatan",ChIJrXQb3znxaS4RqKDZxl-bFoc,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg 168,4,2,-6.2636355,106.7945404,"jl. h. nawi raya, rt.2/rw.7, gandaria utara, kota jakarta selatan",ChIJBW6EWZ_xaS4Roq_1K9LQ7ps,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg ceria gotong royong,5,1,-6.2597702,106.7958452,"4, jl. gotong royong no.8, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJMdAUoRzxaS4RguBqpjzrBuI,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg selera,4,1,-6.2610981,106.7910983,"jl. hidup baru no.30, rt.12/rw.3, gandaria utara, kota jakarta selatan",ChIJ1ZlaW6DxaS4Ro0zW8V-AUa0,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,4.4,206,-6.2582684,106.7932268,"jl. karya utama no.6, gandaria utara, kota jakarta selatan",ChIJx1eskX_xaS4R07OKpVGmurM,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg bu turah,4.4,31,-6.2613799,106.802347,"jakarta selatan, rt.6/rw.2, cipete utara, kota jakarta selatan",ChIJIwFTrZ3xaS4R8yZkk2Jr6pU,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg barokah,3.8,15,-6.258563,106.802274,"no 18, jalan kirai, rt.10/rw.4, cipete utara, kota jakarta selatan",ChIJK_7-mZ3xaS4RG3fPlGRAtKc,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg selaras bahari,4.7,3,-6.26435,106.797745,"jl. nangka, rt.2/rw.5, cipete utara, kota jakarta selatan",ChIJ41bAP_jxaS4Rf50QI4ZoMsA,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg rahayu,0,0,-6.2600657,106.800691,"jl. damai raya no.20, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJv4vg6J3xaS4RatIsR5-Eu4w,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,4.4,179,-6.2600701,106.8057715,"jl. h. jian no.32, rt.7/rw.3, cipete utara, kota jakarta selatan",ChIJx8p0Sp3xaS4R-_IldqY_PHc,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,0,0,-6.264571,106.799726,"jl. abdul majid raya, rt.13/rw.2, cipete utara, kota jakarta selatan",ChIJNyMYqAPxaS4R7gNXNMCSNY4,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg kharisma bahari,5,1,-6.2602689,106.8011275,"jl. damai iv no.5, rt.1/rw.2, cipete utara, kota jakarta selatan",ChIJrwCBZ73xaS4RQeOSCrJbuHM,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg palapa bahari,4.8,11,-6.2634236,106.8042748,"prp3+jpj, rt.7/rw.7, north cipete, south jakarta city",ChIJ95n_znHxaS4RcMhu3itXWJU,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg yoga,4.8,21,-6.259869,106.805691,"jl. damai raya no.35, rt.7/rw.3, cipete utara, kota jakarta selatan",ChIJN8gxNp3xaS4RlpOsz3cFXrE,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg jippo,4.5,6,-6.2579808,106.8071943,"jl. anggur v, rt.3/rw.3, cipete utara, kota jakarta selatan",ChIJOSU7EnjxaS4R_IVdjn8r26A,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg jaya bahari,4.5,49,-6.2666981,106.8037732,"jl. abdul majid raya, rt.11/rw.7, cipete utara, kota jakarta selatan",ChIJPc4q_ZrxaS4Rnb65HJWKVAM,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg selera,4.6,13,-6.260403,106.7970268,"jl. rs. fatmawati raya no.1, rt.2/rw.1, cipete utara, kota jakarta selatan",ChIJzRY0eXXxaS4RDvXmGhnQD4Y,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg kharisma bahari,5,1,-6.2644004,106.7975709,"jl. nangka, rt.2/rw.5, cipete utara, kota jakarta selatan",ChIJWVcMLJnxaS4R5aTPJ-Ej-Ss,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari,4.4,134,-6.2641376,106.8090111,"jl. khm. naim iii no.11, rt.5/rw.9, cipete utara, kota jakarta selatan",ChIJ32eNfYTxaS4RPMzLYLN43zk,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg citrajaya bahari,4.1,12,-6.2599345,106.7962051,"jl. gotong royong i no.1, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJ9fn8wp_xaS4Rnr_xEDKeXI0,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg ibu lilis,4.9,7,-6.2597541,106.8071358,"jl. putih melati no.11, rt.11/rw.3, cipete utara, kota jakarta selatan",ChIJrXQb3znxaS4RqKDZxl-bFoc,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg prapanca,4.1,30,-6.256294,106.8048685,"jl. prapanca raya no.91, rt.9/rw.8, cipete utara, kota jakarta selatan",ChIJBbc-nXfxaS4RVBK2JIHWvPQ,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg tegal bahari,0,0,-6.2637201,106.807913,"012, jl. h. sa'aba no.8a, rt.3/rw.11, cipete utara, kota jakarta selatan",ChIJ96k_jIHxaS4RaRUgenP3ZDU,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg berkah mak rawi,4.5,4,-6.2557886,106.799985,"jl. darmawangsa ii no.27, rt.7/rw.1, pulo, kota jakarta selatan",ChIJd45hDDLxaS4RpxzkcBGMgDs,Pulo,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari 24,4.6,57,-6.2609494,106.796151,"jl. hidup baru, rt.9/rw.6, gandaria utara, kota jakarta selatan",ChIJuQHgkZ_xaS4RhJK7eLjYLoE,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg selebritis,5,2,-6.2598649,106.800184,"jl. damai raya no.27, rt.1/rw.5, cipete utara, kota jakarta selatan",ChIJs8sPq8LxaS4RBgx4yiyXzmE,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg sederhana,4.4,48,-6.264538,106.8089784,"jl. khm. naim iii b no.11, rt.7/rw.9, cipete utara, kota jakarta selatan",ChIJMWiYWoTxaS4R7M_b64dog7Y,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg citra jaya bahari 24 jam,4.9,7,-6.259878,106.795719,"jl. gotong royong, rt.4/rw.6, gandaria utara, kota jakarta selatan",ChIJj3GRO8DxaS4RJW_37-8rV88,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg bmw / warteg bude,5,1,-6.2604264,106.8010327,"jalan damai iv no.4 rt.004/rw.05, rt.4/rw.2, cipete utara, kota jakarta selatan",ChIJMaAOw53xaS4RW4U7eBhxMd0,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg umi,5,1,-6.2634595,106.8042898,"prp3+jp7, rt.12/rw.7, north cipete, south jakarta city",ChIJD_eKu1DxaS4RC0k47qoK9lg,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
wahyoo warteg naim,2.8,6,-6.2646063,106.8082094,"jl. kh. moh. naim ii no.10, rt.3/rw.11, cipete utara, kota jakarta selatan",ChIJOxqUxgDxaS4RjYgxP5CF6as,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg selera,4.3,10,-6.2639969,106.8042005,"jl. h. jian, rt.8/rw.7, cipete utara, kota jakarta selatan",ChIJfQv2YZvxaS4RxXgQR8R773s,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg bahari velbak,5,1,-6.2393284,106.7850884,"komplek perkantoran kebayoran baru mall, jl. kebayoran baru no.4, rt.4/rw.7, gunung, kota jakarta selatan",ChIJc_XjEL_xaS4R-Ll2yi00gt4,Gunung,Kebayoran Baru,Kota Jakarta Selatan
aneka warteg sih bendul,0,0,-6.2390959,106.7850065,"jl. kebayoran baru, rt.4/rw.7, kby. lama utara, kota jakarta selatan",ChIJcV101hfxaS4Rdi_NAY9SheM,Kebayoran Lama Utara,Kebayoran Baru,Kota Jakarta Selatan
warteg kharisma bahari - senopati,4.9,13,-6.2297926,106.8076864,"jl. tulodong atas no.1 no.3, rt.6/rw.3, senayan, kota jakarta selatan",ChIJfTBswT_xaS4RbXxLGbiUOnI,Senayan,Kebayoran Baru,Kota Jakarta Selatan
warteg nurul jaya,5,1,-6.2379328,106.8092399,"jl. ciragil ii no.14, rt.4/rw.1, rw. bar., kota jakarta selatan",ChIJlSx6gV3xaS4RX63CdU-RK_c,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg slawiayu,5,1,-6.2361243,106.8157183,"blok s, jl. senayan, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJxxTspF_xaS4RSg0lD1RiMWA,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg 88a jaya,4,13,-6.238967,106.813477,"rt.1/rw.4, petogogan, south jakarta city",ChIJ-VtAlWDxaS4Rufkfpv684fU,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg jaya lap blok s,5,1,-6.2374823,106.8148214,"jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJqWOhLV7xaS4RDvGBcds4JAw,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg nojo jaya,4.1,130,-6.2369222,106.8169473,"jl. rengas 3 no.1, rt.7/rw.2, rw. bar., kota jakarta selatan",ChIJe36y7V_xaS4Rg4XGMfLfIX0,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg nojo jaya ciragil,4.2,113,-6.2374415,106.8093958,"jl. cikatomas no.12, rt.5/rw.1, rw. bar., kota jakarta selatan",ChIJSfF6m13xaS4RA4-iuuueqIg,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg jaya,3,1,-6.237504,106.814933,"#, jl. birah ii no.4, rt.6/rw.6, rw. bar., kota jakarta selatan",ChIJy_TP0l_xaS4RN33VNof7puc,Rawa Barat,Kebayoran Baru,Kota Jakarta Selatan
warteg saleh jaya,4.6,21,-6.244921,106.810186,"jalan petogogan ii no.30p, pulo, rt.9/rw.5, petogogan, kota jakarta selatan",ChIJeVL2pHTxaS4RiuAtQ7S6Qkg,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg bahari,4.3,8,-6.2430849,106.8036004,"rt.5/rw.2, melawai, kota jakarta selatan",ChIJnR10wNHxaS4RW1jJIolVFBg,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg sari rasa bahari,4.8,4,-6.2412027,106.8086271,"15, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJfcQt7GfxaS4RQPODRu1FWH8,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg indah jaya,5,2,-6.2413087,106.8084911,"jl. cililin no.12a, rt.15/rw.6, petogogan, kota jakarta selatan",ChIJOQgwUWbxaS4RlO0bjH5s4kA,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg sajny,0,0,-6.241383,106.805117,"rt3, jl. tirtayasa v no.5, rt.3/rw.2, melawai, kota jakarta selatan",ChIJezPy70LxaS4RpgoJ3loY8JY,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg gaspoll,4.6,37,-6.23992,106.811888,"santa modern market, lantai 2 no. 171-172, rt.5/rw.4, petogogan, kota jakarta selatan",ChIJox4BmHnxaS4R391rlmpggsA,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg ortega,4.7,34,-6.241776,106.8144211,"jl. wijaya timur vi no.rt.10, rt.12/rw.2, petogogan, kota jakarta selatan",ChIJp2DKaGHxaS4R5EuRKWHcAKc,Petogogan,Kebayoran Baru,Kota Jakarta Selatan
warteg andriani,0,0,-6.2463922,106.8013357,"melawai, south jakarta city",ChIJdZlAYW7xaS4RhiW2YnauOJg,Melawai,Kebayoran Baru,Kota Jakarta Selatan
warteg salma,0,0,-6.263301,106.7924879,"north gandaria, south jakarta city",ChIJ160UlKHxaS4RCpTyEaR3fVk,North Gandaria,Kebayoran Baru,Kota Jakarta Selatan
warteg diva,0,0,-6.2613865,106.7997239,"north cipete, south jakarta city",ChIJp_nNfZ7xaS4RbDQO2nxmjM8,North Cipete,Kebayoran Baru,Kota Jakarta Selatan
warteg diva,0,0,-6.2613865,106.7997239,"north cipete, south jakarta city",ChIJp_nNfZ7xaS4RbDQO2nxmjM8,North Cipete,Kebayoran Baru,Kota Jakarta Selatan
warteg salma,0,0,-6.263301,106.7924879,"north gandaria, south jakarta city",ChIJ160UlKHxaS4RCpTyEaR3fVk,North Gandaria,Kebayoran Baru,Kota Jakarta Selatan
warteg salma,0,0,-6.263301,106.7924879,"north gandaria, south jakarta city",ChIJ160UlKHxaS4RCpTyEaR3fVk,North Gandaria,Kebayoran Baru,Kota Jakarta Selatan
warteg diva,0,0,-6.2613865,106.7997239,"north cipete, south jakarta city",ChIJp_nNfZ7xaS4RbDQO2nxmjM8,North Cipete,Kebayoran Baru,Kota Jakarta Selatan
warteg salma,0,0,-6.263301,106.7924879,"north gandaria, south jakarta city",ChIJ160UlKHxaS4RCpTyEaR3fVk,North Gandaria,Kebayoran Baru,Kota Jakarta Selatan
warteg diva,0,0,-6.2613865,106.7997239,"north cipete, south jakarta city",ChIJp_nNfZ7xaS4RbDQO2nxmjM8,North Cipete,Kebayoran Baru,Kota Jakarta Selatan
warteg kamilah,0,0,-6.2366285,106.7830575,"jl. mesjid al huda, rt.5/rw.1, kby. lama utara, kota jakarta selatan",ChIJm6G0V_XxaS4R2Nr604B8MQw,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan
warteg portugal 2,5,1,-6.2363095,106.773627,"no 7 c, jl. kebon mangga i no.2, rt.9/rw.4, kby. lama sel., kota jakarta selatan",ChIJVVVVVSDxaS4Rugzt2do8Ppo,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg portugal 2,5,1,-6.2363095,106.773627,"no 7 c, jl. kebon mangga i no.2, rt.9/rw.4, kby. lama sel., kota jakarta selatan",ChIJVVVVVSDxaS4Rugzt2do8Ppo,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan
warteg kharisma bahari,4.2,156,-6.2443246,106.7805457,"warteg kharisma bahari 18 jl.ciputat raya no.30 rt.03 rw.07, rt.3/rw.4, kby. lama utara, kota jakarta selatan",ChIJA4lMQyzxaS4RpfbgphsypcQ,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan
warteg idola,4.5,86,-6.2493022,106.7837738,"jl. bungur ii, rt.4/rw.2, kby. lama sel., dki jakarta",ChIJ75L4HhDxaS4RgYOwHHC9nog,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg agung jaya,4.9,7,-6.2279685,106.786927,"jalan rawa simprug iii rt 006 rw 005 # 12 grogol selatan, rt.5/rw.5, grogol sel., dki jakarta",ChIJ3USPoTDxaS4RJNNLe1oEBhk,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg putra pertama,3.5,2,-6.2285074,106.7844666,"rt 001 rw 009 # 5 kebayoran lama, jl. rawa simprug iii, rt.2/rw.5, grogol sel., dki jakarta",ChIJ45graDDxaS4R8I_wY7GX_yQ,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg idola,4.5,86,-6.2493022,106.7837738,"jl. bungur ii, rt.4/rw.2, kby. lama sel., dki jakarta",ChIJ75L4HhDxaS4RgYOwHHC9nog,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg putra pertama,3.5,2,-6.2285074,106.7844666,"rt 001 rw 009 # 5 kebayoran lama, jl. rawa simprug iii, rt.2/rw.5, grogol sel., dki jakarta",ChIJ45graDDxaS4R8I_wY7GX_yQ,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg idola,4.5,86,-6.2493022,106.7837738,"jl. bungur ii, rt.4/rw.2, kby. lama sel., dki jakarta",ChIJ75L4HhDxaS4RgYOwHHC9nog,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg agung jaya,4.9,7,-6.2279685,106.786927,"jalan rawa simprug iii rt 006 rw 005 # 12 grogol selatan, rt.5/rw.5, grogol sel., dki jakarta",ChIJ3USPoTDxaS4RJNNLe1oEBhk,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg putra pertama,3.5,2,-6.2285074,106.7844666,"rt 001 rw 009 # 5 kebayoran lama, jl. rawa simprug iii, rt.2/rw.5, grogol sel., dki jakarta",ChIJ45graDDxaS4R8I_wY7GX_yQ,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan
warteg khaerul jaya,0,0,-6.2712763,106.7750983,"japan, jl. tanah ara, rt.1/rw.12, pd. pinang, jakarta",ChIJFfstuP3xaS4R-qUyGWp7S70,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
wahyoo warteg hidayah,0,0,-6.2491956,106.7826033,"jl. bungur ii no.57, rt.2/rw.2, kby. lama sel., kota jakarta selatan",ChIJ-X5OABDxaS4RtSLrS7TkDtw,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan
