nama_kelurahan,latitude,longitude
Selong,-6.2358591,106.8030892
Gunung,-6.2349179,106.7927658
Kramat Pela,-6.2451405,106.7927658
Gandaria Utara,-6.258017700000001,106.7898163
Cipete Utara,-6.2596634,106.8080833
Pulo,-6.255172,106.7986648
Melawai,-6.2448517,106.8016144
Petogogan,-6.242007099999999,106.8104633
Rawa Barat,-6.2368,106.813413
Senayan,-6.2266758,106.8104633
