nama_kelurahan,latitude,longitude
Grogol Utara,-6.2159946,106.7853922
Grogol Selatan,-6.2300428,106.7798811
Cipulir,-6.23682,106.773595
Kebayoran Lama Utara,-6.245621499999999,106.7780189
Kebayoran Lama Selatan,-6.2570768,106.7794935
Pondok Pinang,-6.2775326,106.7794935
