nama_kelurahan,latitude,longitude
Tanjung Barat,-6.3058935,106.8502879
Lenteng Agung,-6.325502999999999,106.8341101
Jagakarsa,-6.327337099999999,106.8207875
Ciganjur,-6.3379655,106.8089885
Srengseng Sawah,-6.3476171,106.8266873
Cipedak,-6.3561798,106.8001396
