nama_kelurahan,latitude,longitude
Tebet Barat,-6.2356436,106.8488128
Tebet Timur,-6.2328959,106.8547133
Kebon Baru,-6.2327029,106.8606139
Bukit Duri,-6.222582,106.8576636
Manggarai,-6.212558599999999,106.851763
Manggarai Selatan,-6.2203167,106.8488128
Menteng Dalam,-6.2308233,106.8399623
