nama_kelurahan,latitude,longitude
Kalibata,-6.264140599999999,106.8370122
Rawa Jati,-6.258447599999999,106.8547133
Duren Tiga,-6.2553397,106.8325872
Cikoko,-6.245055799999999,106.8539757
Pengadegan,-6.2482256,106.8547133
Pancoran,-6.2523005,106.8473377
