nama_kelurahan,latitude,longitude
Pejaten Barat,-6.270482899999999,106.8384873
Pejaten Timur,-6.270095,106.8502879
Pasar Minggu,-6.289610499999999,106.8399623
Kebagusan,-6.3115948,106.8325872
Jati Padang,-6.286017699999999,106.8325872
Ragunan,-6.301752,106.8207875
Cilandak Timur,-6.2791676,106.8152966
